study_id,measurement_id,temperature_degC,depth_m,to_bottom,Unnamed: 5,Unnamed: 6,Unnamed: 7
15,35,-10.712292999999999,1.9630368999999999,,,,
15,35,-10.493541,2.9660895,,,,
15,35,-9.985165,4.0613527000000005,,,,
15,35,-9.023628,6.0390773,,,,
15,35,-8.585278500000001,7.984445,,,,
15,35,-8.380912,10.020036,,,,
15,35,-8.350659,12.024594,,,,
15,35,-8.494519,13.998122,,,,
15,36,-2.5135136,2.1546962000000005,,,,
15,36,-1.054054,3.1491714,,,,
15,36,-0.4054054,3.9779004999999996,,,,
15,36,-0.16216215,4.8066297,,,,
15,36,-0.2027027,5.469613,,,,
15,36,-0.36486486,6.1325965,,,,
15,36,-1.1351352,8.2872925,,,,
15,36,-1.945946,10.110497,,,,
15,36,-2.5945945,12.265193,,,,
15,36,-2.7567568,13.922652,,,,
15,36,-2.4324324,18.232044000000002,,,,
15,36,-0.972973,28.176796000000003,,,,
15,36,-1.9054054,38.121548,,,,
15,36,-5.635135,58.01105,,,,
15,36,-7.9864864,78.0663,,,,
15,36,-8.756757,97.790054,,,,
15,36,-8.635135,117.84531000000001,,,,
16,37,-9.123202000000001,9.552333,False,,,
16,37,-8.602219,19.537426,False,,,
16,37,-9.53095,29.726702000000003,False,,,
16,37,-10.33881,39.652164,False,,,
16,37,-10.764192,49.86403,False,,,
16,37,-10.947828999999999,59.548267,False,,,
16,37,-11.010799,69.77639,False,,,
16,37,-11.073633000000001,79.46605,False,,,
16,37,-11.0762005,89.696884,False,,,
16,37,-10.998164,99.6621,False,,,
16,37,-11.004650999999999,125.50842,False,,,
16,38,-6.989269,10.725031,False,,,
16,38,-7.232092999999999,15.560374,False,,,
16,38,-7.8374643,20.917921,False,,,
16,38,-8.422566,25.737906,False,,,
16,38,-8.9875345,30.558791999999997,False,,,
16,38,-9.170024,35.66608,False,,,
16,38,-9.251843,40.777879999999996,False,,,
16,38,-9.373864,45.61865,False,,,
16,38,-9.556421,50.995166999999995,False,,,
16,38,-9.71871,55.834126,False,,,
16,38,-9.921266000000001,60.671276,False,,,
16,38,-10.164158,65.77585,False,,,
16,38,-10.366646000000001,70.343765,False,,,
16,38,-10.387524,73.30442,False,,,
16,38,-10.650413499999999,77.86963,False,,,
16,38,-10.81277,82.97782,False,,,
16,38,-10.954991,88.08691400000001,False,,,
16,38,-11.016608999999999,92.93039,False,,,
16,38,-11.118563,98.04129,False,,,
16,38,-11.079578,103.158516,False,,,
16,38,-11.100928999999999,108.00379,False,,,
16,38,-11.021609,112.85359,False,,,
17,251,-22.480295,0.0031628124,,,,
17,251,-19.243004,0.32103428,,,,
17,251,-15.639817,0.73350745,,,,
17,251,-12.698166,1.0823886,,,,
17,251,-10.615152,1.3988112,,,,
17,251,-9.827245,1.7763697,,,,
17,251,-9.26477,2.3576205000000003,,,,
17,251,-8.927439,2.8601365000000003,,,,
17,251,-8.7590275,3.3624406000000002,,,,
17,251,-8.731556,4.0371623,,,,
17,251,-8.929975500000001,5.370597,,,,
17,251,-9.268827,6.3743567,,,,
17,251,-9.706643,7.8016334,,,,
17,251,-9.946912,8.758446000000001,,,,
17,251,-10.130874,9.715328999999999,,,,
17,251,-10.526492,11.17404,,,,
17,251,-10.72434,11.94262,,,,
17,251,-10.837571,12.554404,,,,
17,251,-11.190752999999999,13.809192999999999,,,,
17,251,-11.346261,14.467994000000001,,,,
17,251,-11.487581,15.016979999999998,,,,
17,252,-24.999985000000002,-0.015690377,,,,
17,252,-23.874032999999997,0.15831731,,,,
17,252,-22.185053,0.36441252,,,,
17,252,-18.061144,0.8873721,,,,
